Brand,Processor,RAM (GB),Screen Size (inch),Battery Life (hours),Weight (kg),Operating System,Storage_Type,Storage_Capacity,Resolution_Type,GPU_Model,Price_THB
Lenovo,Intel i7,64.0,16.0,11.6,2.37,macOS,SSD,256.0,HD,,61587.4
Asus,AMD Ryzen 5,4.0,14.0,11.2,1.49,macOS,SSD,256.0,4K,,51858.8
Dell,AMD Ryzen 7,64.0,14.0,9.7,1.39,macOS,SSD,512.0,2K,RX 6600,130972.45000000001
Samsung,Intel i5,32.0,15.6,7.7,2.16,FreeDOS,SSD,1.0,2K,GTX 1650,80857.0
Acer,Intel i5,4.0,16.0,11.8,3.09,macOS,SSD,2.0,4K,RX 6600,55214.6
Apple,AMD Ryzen 7,64.0,14.0,8.0,2.59,Windows,SSD,2.0,Full HD,RTX 3080,152412.40000000002
Samsung,Intel i5,16.0,14.0,7.9,2.42,Windows,SSD,2.0,2K,,37821.7
Dell,AMD Ryzen 5,,16.0,4.5,3.41,Linux,SSD,2.0,HD,GTX 1650,25115.65
Razer,AMD Ryzen 9,64.0,13.3,6.9,2.97,Linux,SSD,1.0,2K,RX 6800,239499.4
Asus,Intel i9,64.0,17.3,7.7,1.65,FreeDOS,SSD,256.0,HD,,81434.15000000001
Microsoft,AMD Ryzen 3,32.0,17.3,7.8,2.65,macOS,SSD,2.0,2K,RTX 3080,62927.200000000004
MSI,Intel i3,8.0,14.0,9.4,3.39,Windows,SSD,2.0,HD,GTX 1650,33540.85
Apple,AMD Ryzen 9,32.0,15.6,4.6,1.39,FreeDOS,SSD,512.0,HD,RTX 3060,130302.54999999999
HP,AMD Ryzen 9,4.0,15.6,9.5,1.9,Linux,SSD,1.0,Full HD,GTX 1650,60075.05
Razer,Intel i7,4.0,16.0,5.2,3.29,FreeDOS,SSD,2.0,HD,GTX 1650,48074.6
Razer,Intel i3,16.0,13.3,10.8,3.42,macOS,SSD,1.0,HD,RX 6600,43022.0
Samsung,Intel i3,4.0,14.0,10.6,1.58,FreeDOS,SSD,2.0,2K,RTX 2060,31735.2
Apple,AMD Ryzen 5,32.0,17.3,10.7,1.6,Linux,SSD,256.0,4K,RTX 3060,147702.44999999998
Razer,AMD Ryzen 5,8.0,15.6,10.8,3.2,macOS,SSD,512.0,HD,RTX 3060,40948.950000000004
Asus,AMD Ryzen 9,8.0,16.0,10.4,1.55,FreeDOS,SSD,2.0,2K,GTX 1650,84600.25
Razer,Intel i9,32.0,16.0,5.4,3.08,FreeDOS,SSD,1.0,Full HD,RTX 2060,138132.75
MSI,AMD Ryzen 5,32.0,13.3,7.3,3.05,Windows,SSD,256.0,4K,GTX 1650,115209.15000000001
Microsoft,Intel i7,16.0,15.6,8.1,1.52,Windows,SSD,1.0,HD,RTX 2060,52890.950000000004
HP,Intel i7,4.0,13.3,8.3,1.24,macOS,SSD,256.0,HD,RTX 2060,34565.3
Samsung,Intel i7,32.0,14.0,11.1,1.4,macOS,SSD,2.0,4K,RTX 3060,119610.40000000001
Apple,AMD Ryzen 9,4.0,16.0,5.3,3.21,Windows,SSD,2.0,Full HD,RTX 2060,88118.45
Lenovo,Intel i3,16.0,13.3,10.9,2.49,Linux,SSD,512.0,4K,RX 6800,61610.85
Samsung,Intel i9,4.0,17.3,10.9,2.47,FreeDOS,SSD,1.0,Full HD,GTX 1650,53170.600000000006
Microsoft,AMD Ryzen 3,8.0,13.3,10.0,1.39,Linux,HDD,1.0,4K,RX 6600,36929.9
Razer,Intel i7,16.0,13.3,9.0,2.25,Linux,SSD,1.0,2K,RX 6800,90003.9
Samsung,Intel i3,64.0,16.0,11.7,2.62,Linux,SSD,256.0,Full HD,RTX 3060,78149.05
Asus,Intel i9,8.0,17.3,11.8,1.89,Windows,SSD,2.0,4K,RX 6800,103840.45
Samsung,Intel i5,64.0,14.0,6.6,2.77,FreeDOS,SSD,256.0,2K,RX 6800,102249.7
,AMD Ryzen 5,64.0,13.3,4.5,3.4,macOS,SSD,2.0,2K,RX 6800,107971.5
Dell,Intel i5,16.0,17.3,5.4,2.69,Windows,SSD,512.0,4K,RTX 2060,75775.35
Acer,AMD Ryzen 5,8.0,15.6,10.3,2.05,FreeDOS,SSD,2.0,4K,RX 6800,60023.950000000004
Apple,AMD Ryzen 5,8.0,14.0,7.9,2.18,FreeDOS,SSD,256.0,4K,RTX 3060,90605.9
Lenovo,AMD Ryzen 9,8.0,15.6,8.1,2.84,Linux,SSD,512.0,Full HD,RTX 2060,62253.8
Samsung,AMD Ryzen 7,8.0,14.0,5.4,3.16,Windows,SSD,512.0,Full HD,RTX 3080,47923.75
Razer,AMD Ryzen 3,8.0,15.6,4.1,1.51,Windows,SSD,512.0,2K,,42533.75
HP,Intel i9,8.0,15.6,10.4,3.34,macOS,HDD,1.0,2K,GTX 1650,69966.05
Asus,Intel i3,64.0,13.3,5.7,2.77,FreeDOS,SSD,256.0,HD,RTX 2060,54838.0
Microsoft,Intel i9,32.0,15.6,9.4,3.27,macOS,SSD,256.0,HD,RTX 2060,89889.45
Asus,AMD Ryzen 3,16.0,14.0,4.3,2.06,Linux,SSD,512.0,Full HD,RTX 2060,37933.7
HP,AMD Ryzen 7,32.0,16.0,10.4,1.25,macOS,SSD,2.0,Full HD,GTX 1650,74122.3
Razer,Intel i7,4.0,13.3,10.6,3.14,FreeDOS,SSD,1.0,4K,RTX 3060,94311.35
Microsoft,AMD Ryzen 5,64.0,16.0,6.9,1.86,macOS,SSD,256.0,HD,RTX 2060,76031.55
Acer,AMD Ryzen 3,32.0,13.3,9.3,3.14,macOS,SSD,512.0,2K,GTX 1650,58574.25
Razer,Intel i9,4.0,14.0,8.5,3.32,,SSD,256.0,4K,RTX 3060,122179.40000000001
Apple,Intel i5,16.0,14.0,9.8,2.02,FreeDOS,HDD,1.0,Full HD,RTX 3060,54938.8
MSI,Intel i7,16.0,15.6,6.0,1.36,Linux,SSD,1.0,4K,RTX 3060,124545.04999999999
Razer,Intel i7,16.0,14.0,4.4,3.14,FreeDOS,SSD,2.0,2K,GTX 1650,95936.4
Asus,Intel i5,16.0,17.3,5.9,3.4,FreeDOS,SSD,512.0,4K,,54697.65
Razer,Intel i9,4.0,15.6,11.6,1.26,Linux,HDD,1.0,2K,,55252.75
Dell,Intel i9,64.0,16.0,4.4,2.7,macOS,HDD,1.0,4K,GTX 1650,213113.25
Asus,Intel i3,32.0,17.3,7.7,3.28,macOS,SSD,256.0,4K,RTX 2060,80075.45
Lenovo,AMD Ryzen 5,4.0,16.0,10.1,2.99,Windows,SSD,256.0,4K,RTX 3080,61819.799999999996
MSI,Intel i7,16.0,13.3,5.7,2.61,macOS,SSD,512.0,Full HD,RX 6600,68012.35
Lenovo,Intel i9,16.0,15.6,10.2,1.43,Windows,SSD,256.0,Full HD,RTX 2060,81606.35
Asus,Intel i5,32.0,14.0,7.5,2.44,Linux,SSD,512.0,Full HD,RTX 2060,54439.350000000006
Dell,AMD Ryzen 3,8.0,14.0,5.8,1.52,Windows,HDD,1.0,4K,RTX 3080,42990.5
Samsung,AMD Ryzen 3,16.0,16.0,8.4,3.15,Windows,SSD,256.0,HD,RX 6800,28214.55
Lenovo,Intel i9,4.0,17.3,5.6,2.05,Linux,SSD,512.0,4K,RX 6800,91040.95
MSI,AMD Ryzen 9,64.0,15.6,7.6,1.65,Linux,SSD,1.0,HD,RTX 2060,162705.55
Apple,Intel i9,64.0,14.0,11.4,2.48,macOS,SSD,512.0,2K,RTX 3060,260496.25
Apple,Intel i5,64.0,13.3,8.1,2.29,Linux,SSD,512.0,HD,RTX 3080,108305.40000000001
Microsoft,Intel i5,16.0,14.0,4.9,2.42,FreeDOS,HDD,1.0,2K,RTX 2060,49249.55
HP,Intel i9,64.0,16.0,5.8,1.72,Windows,SSD,1.0,4K,RTX 3060,255327.8
Microsoft,AMD Ryzen 9,16.0,16.0,4.8,3.16,Linux,HDD,1.0,4K,RTX 3080,109863.25
Lenovo,Intel i7,32.0,15.6,8.6,,macOS,SSD,512.0,Full HD,RTX 3060,80185.35
Apple,AMD Ryzen 3,64.0,14.0,6.0,1.9,Windows,HDD,1.0,Full HD,,62297.9
Apple,Intel i9,4.0,15.6,9.4,1.22,FreeDOS,SSD,512.0,Full HD,RX 6600,81254.59999999999
Samsung,AMD Ryzen 9,4.0,15.6,9.5,2.67,Windows,SSD,2.0,2K,RX 6800,76187.65
Dell,AMD Ryzen 5,4.0,14.0,6.1,1.68,FreeDOS,SSD,512.0,Full HD,RX 6600,35650.3
Asus,Intel i9,16.0,16.0,11.5,1.38,Windows,HDD,1.0,Full HD,RTX 3060,62226.5
Razer,Intel i7,4.0,14.0,5.8,2.88,FreeDOS,SSD,256.0,HD,RX 6600,45047.1
HP,Intel i7,8.0,16.0,11.0,2.23,macOS,SSD,2.0,2K,RTX 2060,64287.65
MSI,AMD Ryzen 7,32.0,17.3,10.0,3.33,Windows,SSD,256.0,HD,RTX 3080,85808.79999999999
Asus,AMD Ryzen 3,32.0,14.0,6.3,2.59,FreeDOS,SSD,256.0,HD,GTX 1650,41465.200000000004
Apple,AMD Ryzen 3,8.0,16.0,9.5,3.37,Windows,SSD,512.0,Full HD,,43789.2
Razer,AMD Ryzen 5,16.0,14.0,5.3,2.62,Linux,SSD,512.0,2K,RTX 2060,74962.65
Asus,AMD Ryzen 3,4.0,15.6,7.7,2.16,FreeDOS,SSD,1.0,HD,RX 6800,27771.8
Asus,Intel i3,64.0,16.0,7.4,1.51,Windows,SSD,2.0,4K,RTX 2060,126792.75
Dell,AMD Ryzen 3,64.0,13.3,6.8,1.78,Linux,SSD,512.0,Full HD,RTX 2060,66676.05
Dell,AMD Ryzen 3,32.0,15.6,9.7,2.78,macOS,SSD,512.0,2K,RTX 3060,67123.34999999999
Samsung,Intel i9,64.0,15.6,10.9,2.63,Linux,SSD,256.0,Full HD,RTX 3060,148636.6
Razer,AMD Ryzen 7,32.0,16.0,8.5,2.19,Windows,SSD,256.0,HD,GTX 1650,93184.0
Asus,Intel i3,4.0,15.6,7.8,3.42,FreeDOS,SSD,256.0,2K,RX 6600,35543.549999999996
Microsoft,AMD Ryzen 5,8.0,13.3,7.5,1.37,macOS,SSD,512.0,Other,RX 6600,47645.85
Microsoft,AMD Ryzen 9,32.0,17.3,10.3,2.07,Windows,SSD,2.0,2K,RX 6800,128864.75
Samsung,AMD Ryzen 3,8.0,16.0,5.7,2.93,macOS,SSD,512.0,Full HD,GTX 1650,32526.9
HP,AMD Ryzen 3,4.0,14.0,7.2,1.45,Linux,SSD,512.0,HD,RTX 3060,24662.75
Microsoft,AMD Ryzen 3,4.0,13.3,4.1,2.72,Windows,SSD,256.0,HD,RTX 3080,27795.949999999997
Lenovo,Intel i7,16.0,15.6,7.7,3.49,Linux,SSD,2.0,HD,RX 6800,49253.05
Apple,Intel i7,64.0,14.0,8.4,3.13,Linux,HDD,1.0,HD,RTX 3080,107297.4
Acer,AMD Ryzen 5,8.0,15.6,5.9,2.54,FreeDOS,SSD,1.0,2K,GTX 1650,46421.899999999994
Asus,Intel i5,8.0,14.0,4.3,3.07,FreeDOS,SSD,1.0,4K,GTX 1650,58863.35
Lenovo,AMD Ryzen 9,64.0,14.0,8.6,3.48,macOS,SSD,2.0,HD,RTX 3060,112598.15000000001
Dell,Intel i9,4.0,14.0,7.7,3.06,Windows,HDD,1.0,4K,,47246.850000000006
Razer,Intel i5,16.0,15.6,8.8,3.22,Linux,SSD,1.0,4K,RTX 2060,108771.95
Dell,AMD Ryzen 7,8.0,17.3,10.2,1.98,FreeDOS,SSD,2.0,4K,RTX 3080,78020.95
Dell,AMD Ryzen 7,32.0,15.6,9.5,3.34,macOS,SSD,256.0,4K,RTX 3060,127554.0
MSI,AMD Ryzen 5,8.0,17.3,8.9,3.05,Linux,SSD,1.0,Full HD,RTX 3080,48606.6
HP,AMD Ryzen 5,32.0,17.3,7.5,1.3,Linux,SSD,2.0,2K,RTX 2060,73597.3
Samsung,Intel i5,64.0,15.6,10.2,1.6,FreeDOS,SSD,2.0,4K,RTX 3080,152839.05
Apple,Intel i5,64.0,13.3,5.4,2.74,macOS,SSD,1.0,2K,,103236.0
Samsung,AMD Ryzen 7,16.0,17.3,10.4,3.4,FreeDOS,SSD,1.0,4K,RX 6600,98504.7
Razer,Intel i7,8.0,15.6,7.6,2.17,FreeDOS,HDD,1.0,HD,RTX 3060,43951.95
Samsung,Intel i3,,15.6,4.1,2.45,macOS,SSD,1.0,HD,RTX 3060,26944.75
Microsoft,Intel i7,4.0,14.0,9.4,2.26,FreeDOS,SSD,1.0,4K,,41937.0
Razer,AMD Ryzen 3,4.0,13.3,11.3,1.79,macOS,SSD,1.0,4K,RX 6600,60715.9
Acer,AMD Ryzen 3,32.0,13.3,9.0,2.56,Linux,SSD,256.0,Full HD,,27013.35
Dell,AMD Ryzen 3,16.0,17.3,11.7,2.26,FreeDOS,SSD,256.0,4K,GTX 1650,65962.75
Microsoft,Intel i5,32.0,13.3,5.7,3.06,macOS,SSD,2.0,4K,RX 6800,91215.95
Asus,AMD Ryzen 9,8.0,17.3,10.2,2.45,macOS,HDD,1.0,2K,,41560.05
MSI,Intel i3,32.0,14.0,9.3,3.13,Linux,SSD,2.0,HD,GTX 1650,54048.4
Dell,AMD Ryzen 3,4.0,16.0,5.0,3.04,Windows,SSD,1.0,HD,RTX 2060,21353.5
Asus,AMD Ryzen 3,4.0,13.3,4.4,1.69,Linux,SSD,2.0,2K,GTX 1650,30727.55
Apple,AMD Ryzen 7,16.0,14.0,6.4,2.09,FreeDOS,SSD,1.0,4K,RTX 3080,130411.4
Samsung,Intel i7,4.0,13.3,9.4,1.85,FreeDOS,SSD,2.0,2K,RX 6800,45067.4
Apple,AMD Ryzen 5,4.0,17.3,7.4,2.18,Linux,SSD,2.0,HD,RTX 2060,40824.0
Apple,AMD Ryzen 7,8.0,16.0,12.0,2.83,Windows,SSD,256.0,HD,GTX 1650,62401.850000000006
Samsung,AMD Ryzen 3,64.0,17.3,11.8,2.95,FreeDOS,SSD,1.0,2K,RTX 3080,91337.75
Samsung,Intel i3,32.0,13.3,5.2,3.19,macOS,SSD,512.0,2K,RTX 3080,62848.8
Razer,AMD Ryzen 7,4.0,14.0,11.0,1.74,FreeDOS,SSD,1.0,4K,RX 6600,90466.6
Apple,Intel i3,8.0,14.0,7.0,1.3,Linux,HDD,,HD,RTX 3060,37150.4
MSI,Intel i5,64.0,15.6,4.3,3.5,FreeDOS,SSD,256.0,Full HD,,119589.75
HP,Intel i5,32.0,17.3,11.5,2.19,macOS,SSD,512.0,2K,RX 6800,80846.5
Razer,Intel i3,8.0,17.3,,2.81,FreeDOS,SSD,256.0,Full HD,,33808.25
Razer,Intel i9,64.0,13.3,9.0,2.57,Linux,SSD,256.0,4K,RTX 3060,314956.95
Samsung,AMD Ryzen 5,8.0,15.6,5.7,2.91,Linux,SSD,256.0,4K,,47786.549999999996
Apple,AMD Ryzen 7,64.0,15.6,6.1,3.18,macOS,SSD,512.0,Full HD,,115920.7
Dell,AMD Ryzen 3,64.0,15.6,9.2,1.9,macOS,SSD,512.0,4K,GTX 1650,127761.20000000001
Dell,AMD Ryzen 3,4.0,14.0,8.7,2.86,Linux,SSD,2.0,Full HD,RX 6600,23360.4
MSI,AMD Ryzen 3,32.0,13.3,6.2,1.5,FreeDOS,HDD,1.0,4K,RTX 3060,78505.0
HP,Intel i7,4.0,13.3,6.5,3.07,FreeDOS,HDD,1.0,Full HD,,24428.25
Acer,AMD Ryzen 3,16.0,15.6,7.1,2.36,FreeDOS,SSD,512.0,2K,,31250.45
Apple,AMD Ryzen 3,64.0,13.3,6.6,2.16,Linux,SSD,1.0,HD,,58234.049999999996
Asus,AMD Ryzen 9,16.0,16.0,5.7,2.38,macOS,SSD,512.0,2K,,67629.45
Acer,AMD Ryzen 7,8.0,13.3,4.8,3.48,FreeDOS,SSD,256.0,Full HD,GTX 1650,39620.0
HP,Intel i7,64.0,16.0,9.7,1.33,FreeDOS,SSD,2.0,4K,RTX 3080,185417.75
Asus,Intel i3,32.0,15.6,9.3,3.42,Windows,SSD,256.0,HD,RTX 3080,45830.05
HP,AMD Ryzen 5,32.0,16.0,10.0,1.36,Linux,SSD,2.0,2K,RTX 2060,80132.5
Acer,AMD Ryzen 7,32.0,17.3,8.9,2.63,Linux,HDD,1.0,2K,RTX 2060,83262.90000000001
Apple,Intel i3,4.0,17.3,7.4,3.44,macOS,HDD,1.0,Full HD,RTX 3080,32641.350000000002
Acer,AMD Ryzen 7,4.0,13.3,7.8,2.62,Linux,SSD,1.0,Full HD,RTX 3060,39865.7
Asus,Intel i9,8.0,17.3,6.1,3.19,FreeDOS,SSD,256.0,2K,RTX 3060,75436.55
Apple,Intel i7,32.0,16.0,6.9,2.48,Linux,SSD,256.0,4K,RTX 3080,185136.69999999998
MSI,Intel i9,64.0,16.0,6.5,2.25,macOS,SSD,1.0,Full HD,RTX 3080,191620.80000000002
Microsoft,AMD Ryzen 7,4.0,14.0,5.6,2.91,macOS,SSD,1.0,2K,GTX 1650,44604.350000000006
HP,AMD Ryzen 5,8.0,15.6,10.4,2.3,macOS,SSD,256.0,HD,RX 6800,33098.45
Samsung,AMD Ryzen 9,16.0,16.0,8.5,3.25,macOS,SSD,1.0,HD,,42579.6
Dell,Intel i5,64.0,16.0,11.1,2.55,macOS,HDD,1.0,2K,RTX 3060,92590.04999999999
Razer,AMD Ryzen 3,4.0,15.6,6.4,1.91,macOS,SSD,2.0,2K,,29808.449999999997
Microsoft,Intel i7,8.0,16.0,11.6,1.62,Windows,SSD,1.0,2K,RTX 3060,55522.6
MSI,Intel i7,16.0,14.0,6.0,3.13,Windows,SSD,1.0,2K,RTX 3060,86610.3
Dell,Intel i5,4.0,14.0,9.8,2.37,FreeDOS,SSD,1.0,2K,RTX 2060,44857.4
Dell,Intel i3,64.0,15.6,4.7,2.6,macOS,HDD,1.0,Full HD,RTX 3080,66206.34999999999
Lenovo,AMD Ryzen 7,16.0,17.3,5.5,2.24,Windows,SSD,256.0,HD,RTX 3060,44985.85
Apple,Intel i9,32.0,13.3,8.4,3.31,macOS,HDD,1.0,4K,RTX 2060,195299.3
Asus,AMD Ryzen 3,8.0,13.3,4.0,2.44,Linux,SSD,256.0,2K,GTX 1650,32694.55
Samsung,Intel i7,8.0,14.0,4.2,3.09,Windows,SSD,2.0,Full HD,RTX 2060,43072.05
Razer,AMD Ryzen 3,64.0,14.0,6.2,2.61,macOS,SSD,1.0,4K,RX 6600,155552.94999999998
Acer,Intel i7,32.0,17.3,10.1,3.14,FreeDOS,SSD,2.0,4K,RX 6600,131046.65000000001
Dell,Intel i3,32.0,15.6,9.3,3.26,macOS,SSD,512.0,Full HD,,37614.15
Dell,AMD Ryzen 3,64.0,17.3,4.3,1.38,macOS,HDD,1.0,Full HD,GTX 1650,59141.25
Acer,AMD Ryzen 9,8.0,14.0,8.7,3.25,FreeDOS,SSD,512.0,2K,,48492.85
HP,AMD Ryzen 5,8.0,13.3,7.3,1.3,macOS,SSD,1.0,Full HD,RTX 2060,40788.3
MSI,Intel i3,16.0,16.0,10.2,2.38,Windows,HDD,1.0,HD,RX 6600,30954.35
Dell,AMD Ryzen 7,4.0,16.0,10.7,3.16,Linux,HDD,1.0,2K,,31679.55
Acer,Intel i3,32.0,16.0,11.7,1.71,FreeDOS,HDD,1.0,2K,RX 6800,57714.3
Razer,AMD Ryzen 9,8.0,15.6,7.9,1.34,Windows,SSD,256.0,2K,RX 6600,111345.15
Lenovo,Intel i7,4.0,17.3,6.1,2.22,Windows,HDD,,2K,RX 6800,50658.65
Microsoft,AMD Ryzen 7,8.0,16.0,11.7,2.31,macOS,SSD,1.0,HD,RTX 2060,37635.5
Samsung,Intel i9,16.0,13.3,10.0,1.97,Linux,SSD,512.0,HD,RTX 3080,57774.5
HP,AMD Ryzen 5,4.0,15.6,6.9,2.38,FreeDOS,SSD,1.0,Full HD,RTX 3080,36214.85
MSI,Intel i5,4.0,14.0,10.5,2.47,Linux,SSD,2.0,HD,RTX 2060,30784.95
Acer,Intel i3,16.0,16.0,6.0,2.24,macOS,SSD,2.0,2K,RTX 2060,51688.0
Samsung,,32.0,16.0,10.3,2.54,FreeDOS,SSD,512.0,HD,RX 6800,66158.75
Acer,Intel i9,16.0,16.0,8.6,3.43,FreeDOS,SSD,256.0,HD,RX 6600,60862.200000000004
Asus,AMD Ryzen 3,8.0,13.3,5.0,3.37,Linux,HDD,1.0,4K,GTX 1650,39290.299999999996
HP,AMD Ryzen 3,4.0,17.3,10.5,2.97,macOS,HDD,1.0,2K,RTX 2060,27351.100000000002
Lenovo,AMD Ryzen 3,64.0,17.3,7.6,1.56,Linux,SSD,512.0,4K,RTX 3060,131391.05000000002
Samsung,Intel i3,32.0,14.0,11.2,3.21,FreeDOS,SSD,2.0,4K,RX 6800,74351.90000000001
MSI,,16.0,13.3,7.2,1.72,Linux,HDD,1.0,4K,GTX 1650,59817.45
Microsoft,AMD Ryzen 9,4.0,14.0,8.2,1.85,Windows,SSD,2.0,HD,RX 6600,40012.0
Razer,AMD Ryzen 9,16.0,17.3,10.1,1.3,Windows,SSD,2.0,HD,RTX 3080,87235.04999999999
Apple,AMD Ryzen 5,64.0,14.0,5.5,2.59,FreeDOS,SSD,512.0,Full HD,RTX 3080,119548.79999999999
Apple,AMD Ryzen 7,32.0,13.3,10.7,1.29,macOS,SSD,1.0,Full HD,RX 6600,108536.05
Apple,Intel i7,16.0,13.3,11.5,2.85,FreeDOS,SSD,512.0,4K,RTX 3080,128788.09999999999
Microsoft,Intel i9,4.0,16.0,5.5,1.68,Windows,SSD,1.0,2K,RTX 3080,68742.45
HP,AMD Ryzen 5,32.0,13.3,10.7,2.2,Windows,HDD,1.0,HD,RX 6800,38186.75
Microsoft,AMD Ryzen 5,4.0,13.3,6.1,1.82,Windows,HDD,1.0,HD,GTX 1650,24645.25
HP,Intel i9,64.0,15.6,10.7,2.25,Linux,SSD,256.0,2K,RX 6600,189341.6
Lenovo,Intel i9,64.0,14.0,4.6,2.27,FreeDOS,SSD,2.0,Full HD,,93893.45
Dell,AMD Ryzen 9,4.0,14.0,6.2,1.93,Linux,SSD,512.0,Full HD,RTX 2060,53197.200000000004
Asus,AMD Ryzen 5,16.0,13.3,7.0,3.36,Linux,SSD,256.0,4K,,47728.100000000006
Asus,Intel i9,4.0,14.0,8.7,2.93,Windows,SSD,2.0,4K,RX 6600,82679.45
Samsung,Intel i7,64.0,13.3,9.3,2.1,Linux,SSD,512.0,4K,RTX 3060,169460.9
MSI,Intel i5,8.0,14.0,4.2,2.67,FreeDOS,SSD,512.0,HD,RTX 3060,33730.9
HP,AMD Ryzen 5,32.0,14.0,10.4,2.67,Linux,SSD,512.0,HD,RTX 2060,48843.2
Apple,Intel i5,64.0,16.0,11.9,3.41,Windows,HDD,1.0,Full HD,GTX 1650,116431.35
Samsung,AMD Ryzen 9,8.0,15.6,5.5,1.23,Windows,SSD,1.0,2K,RX 6800,77863.79999999999
Apple,AMD Ryzen 9,32.0,16.0,9.3,2.37,Linux,SSD,512.0,Other,RX 6600,189383.25
MSI,AMD Ryzen 3,64.0,13.3,8.1,1.99,Windows,SSD,1.0,Full HD,RX 6600,92145.55
Asus,Intel i3,32.0,15.6,4.3,1.21,FreeDOS,SSD,1.0,2K,,42864.15
Microsoft,Intel i3,32.0,17.3,5.5,1.34,Linux,SSD,2.0,HD,RTX 3060,47900.649999999994
Samsung,Intel i7,8.0,13.3,4.4,1.21,Linux,HDD,1.0,Full HD,RX 6600,37795.1
Acer,Intel i5,4.0,17.3,4.7,1.32,Linux,SSD,256.0,2K,GTX 1650,41717.9
Apple,Intel i5,4.0,15.6,5.0,2.81,FreeDOS,SSD,256.0,4K,GTX 1650,83636.7
Apple,AMD Ryzen 9,64.0,14.0,4.7,2.39,macOS,SSD,512.0,Full HD,GTX 1650,208149.90000000002
Acer,Intel i5,8.0,14.0,6.2,2.63,Linux,SSD,2.0,4K,GTX 1650,58929.5
Apple,Intel i5,4.0,16.0,11.7,1.86,macOS,SSD,256.0,4K,RTX 3060,84192.5
HP,AMD Ryzen 7,32.0,13.3,11.1,2.73,Windows,SSD,256.0,2K,RTX 3060,88406.84999999999
Microsoft,Intel i3,32.0,15.6,10.4,1.3,,SSD,256.0,HD,RTX 2060,41980.75
Razer,AMD Ryzen 7,8.0,14.0,5.9,2.48,FreeDOS,SSD,256.0,HD,RX 6600,50485.05
Acer,AMD Ryzen 9,64.0,15.6,11.5,3.28,Windows,SSD,1.0,Full HD,,102541.95
Microsoft,Intel i9,16.0,14.0,5.0,3.26,Linux,SSD,256.0,HD,RX 6800,59549.700000000004
Acer,AMD Ryzen 7,4.0,13.3,6.1,2.48,FreeDOS,HDD,1.0,4K,RX 6800,54218.5
Microsoft,Intel i9,4.0,15.6,5.9,3.48,FreeDOS,SSD,512.0,HD,RTX 3080,47794.95
HP,Intel i7,16.0,13.3,6.2,2.19,macOS,SSD,256.0,HD,RTX 3080,42978.950000000004
MSI,AMD Ryzen 3,4.0,13.3,6.6,2.11,Windows,SSD,1.0,Full HD,RTX 3080,29905.4
Dell,Intel i7,8.0,13.3,8.2,2.43,FreeDOS,SSD,2.0,2K,RX 6600,49989.1
Samsung,AMD Ryzen 7,16.0,,11.3,2.74,Windows,SSD,512.0,HD,,29831.2
MSI,AMD Ryzen 5,16.0,15.6,8.5,2.85,Linux,SSD,256.0,HD,GTX 1650,47377.05
HP,Intel i7,16.0,13.3,5.3,3.32,macOS,HDD,1.0,2K,GTX 1650,59112.200000000004
MSI,AMD Ryzen 5,8.0,15.6,6.7,3.12,Windows,SSD,2.0,HD,RTX 3060,44285.5
Dell,Intel i3,64.0,16.0,5.0,2.28,macOS,SSD,512.0,4K,,85285.55
Microsoft,Intel i9,64.0,13.3,8.7,1.39,FreeDOS,SSD,256.0,2K,RX 6600,173719.0
Microsoft,Intel i5,4.0,15.6,7.1,1.9,macOS,SSD,512.0,HD,RX 6800,25162.199999999997
HP,Intel i5,16.0,13.3,5.9,3.12,Linux,SSD,2.0,HD,RX 6600,31341.8
Razer,AMD Ryzen 3,8.0,13.3,10.7,3.3,FreeDOS,HDD,1.0,4K,RX 6800,61123.3
Microsoft,AMD Ryzen 9,64.0,14.0,5.5,2.02,Linux,HDD,1.0,HD,GTX 1650,91674.1
Lenovo,Intel i3,32.0,17.3,6.6,1.7,macOS,SSD,512.0,HD,RTX 3060,41206.2
Apple,AMD Ryzen 7,16.0,15.6,10.4,1.21,Windows,SSD,512.0,Full HD,RTX 3060,88920.65000000001
Apple,Intel i3,16.0,13.3,9.7,2.86,Windows,HDD,1.0,Full HD,RX 6800,40476.450000000004
HP,Intel i5,64.0,17.3,10.8,1.77,Windows,SSD,256.0,HD,,54925.5
Dell,AMD Ryzen 7,32.0,16.0,7.6,1.74,Linux,SSD,512.0,Full HD,GTX 1650,77799.75
Lenovo,Intel i7,32.0,14.0,9.9,3.25,Linux,SSD,2.0,2K,RTX 2060,88022.2
Asus,Intel i9,64.0,15.6,11.4,1.4,FreeDOS,SSD,512.0,2K,RTX 2060,190786.05
Apple,AMD Ryzen 7,32.0,15.6,4.1,1.44,Windows,SSD,2.0,2K,RTX 3060,146843.55
Microsoft,AMD Ryzen 9,64.0,14.0,10.6,2.8,macOS,SSD,2.0,4K,RTX 2060,233595.95
HP,Intel i9,8.0,13.3,9.7,1.27,FreeDOS,SSD,256.0,4K,RTX 3060,94161.55
Dell,Intel i3,4.0,14.0,10.5,1.67,macOS,SSD,1.0,Full HD,RX 6800,28859.25
Microsoft,AMD Ryzen 9,8.0,15.6,11.3,3.0,Linux,SSD,2.0,4K,RX 6800,102715.9
Acer,Intel i5,4.0,15.6,6.8,3.34,FreeDOS,HDD,1.0,HD,,12419.4
